FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
180724;1100;18;;;
180724;1200;24;;;
180724;1300;16;;;
180724;1400;18;;;
180724;1500;25;;;
180724;1600;44;;;
180724;1700;47;;;
180724;1800;70;;;
180724;1900;134;;;
180724;2000;303;;;
180724;2100;414;;;
180724;2200;424;;;
180724;2300;404;;;
180725;0000;370;;;
180725;0100;158;;;
180725;0200;88;;;
180725;0300;92;;;
180725;0400;77;;;
180725;0500;65;;;
180725;0600;31;;;
180725;0700;123;;;
180725;0800;214;;;
180725;0900;144;;;
180725;1000;46;;;
180725;1100;31;;;
180725;1200;26;;;
180725;1300;23;;;
180725;1400;21;;;
180725;1500;26;;;
180725;1600;44;;;
180725;1700;58;;;
180725;1800;75;;;
180725;1900;115;;;
180725;2000;113;;;
180725;2100;212;;;
180725;2200;234;;;
180725;2300;288;;;
180726;0000;320;;;
180726;0100;144;;;
180726;0200;92;;;
180726;0300;124;;;
180726;0400;124;;;
180726;0500;128;;;
180726;0600;84;;;
180726;0700;322;;;
180726;0800;306;;;
180726;0900;313;;;
180726;1000;269;;;
180726;1100;182;;;
180726;1200;139;;;
180726;1300;98;;;
180726;1400;91;;;
180726;1500;85;;;
180726;1600;109;;;
180726;1700;179;;;
180726;1800;962;;;
180726;1900;1093;;;
180726;2000;1418;;;
180726;2100;793;;;
180726;2200;642;;;
180726;2300;853;;;
180727;0000;176;;;
180727;0100;169;;;
180727;0200;243;;;
180727;0300;182;;;
180727;0400;165;;;
180727;0500;95;;;
180727;0600;123;;;
180727;0700;248;;;
180727;0800;96;;;
180727;0900;158;;;
180727;1000;106;;;
180727;1100;178;;;
180727;1200;41;;;
180727;1300;28;;;
180727;1400;28;;;
180727;1500;32;;;
180727;1600;33;;;
180727;1700;90;;;
180727;1800;227;;;
180727;1900;95;;;
180727;2000;132;;;
180727;2100;44;;;
180727;2200;44;;;
180727;2300;41;;;
180728;0000;37;;;
180728;0100;26;;;
180728;0200;19;;;
180728;0300;11;;;
180728;0400;15;;;
180728;0500;7;;;
180728;0600;4;;;
180728;0700;11;;;
180728;0800;30;;;
180728;0900;24;;;
180728;1000;33;;;
180728;1100;27;;;
180728;1200;42;;;
180728;1300;31;;;
180728;1400;34;;;
180728;1500;42;;;
180728;1600;68;;;
180728;1700;63;;;
180728;1800;60;;;
180728;1900;69;;;
180728;2000;41;;;
180728;2100;70;;;
180728;2200;42;;;
180728;2300;72;;;
180729;0000;25;;;
180729;0100;43;;;
180729;0200;43;;;
180729;0300;16;;;
180729;0400;9;;;
180729;0500;6;;;
180729;0600;7;;;
180729;0700;6;;;
180729;0800;10;;;
180729;0900;13;;;
180729;1000;24;;;
180729;1100;25;;;
180729;1200;33;;;
180729;1300;39;;;
180729;1400;26;;;
180729;1500;23;;;
180729;1600;48;;;
180729;1700;37;;;
180729;1800;38;;;
180729;1900;60;;;
180729;2000;57;;;
180729;2100;49;;;
180729;2200;34;;;
180729;2300;35;;;
180730;0000;42;;;
180730;0100;24;;;
180730;0200;35;;;
180730;0300;15;;;
180730;0400;39;;;
180730;0500;25;;;
180730;0600;47;;;
180730;0700;89;;;
180730;0800;45;;;
180730;0900;76;;;
180730;1000;53;;;
180730;1100;43;;;
180730;1200;30;;;
180730;1300;17;;;
180730;1400;22;;;
180730;1500;;;;
180730;1600;33;;;
180730;1700;43;;;
180730;1800;89;;;
180730;1900;53;;;
180730;2000;37;;;
180730;2100;27;;;
180730;2200;26;;;
180730;2300;23;;;
180731;0000;18;;;
180731;0100;10;;;
180731;0200;8;;;
180731;0300;11;;;
180731;0400;7;;;
180731;0500;9;;;
180731;0600;12;;;
180731;0700;20;;;
180731;0800;35;;;
180731;0900;22;;;
180731;1000;20;;;
180731;1100;19;;;
180731;1200;19;;;
180731;1300;13;;;
180731;1400;17;;;
180731;1500;18;;;
180731;1600;19;;;
180731;1700;25;;;
180731;1800;45;;;
180731;1900;43;;;
180731;2000;64;;;
180731;2100;54;;;
180731;2200;28;;;
180731;2300;18;;;
180801;0000;20;;;
180801;0100;41;;;
180801;0200;16;;;
180801;0300;9;;;
180801;0400;12;;;
180801;0500;12;;;
180801;0600;22;;;
180801;0700;50;;;
180801;0800;107;;;
180801;0900;102;;;
180801;1000;45;;;
180801;1100;23;;;
180801;1200;28;;;
180801;1300;18;;;
180801;1400;18;;;
180801;1500;15;;;
180801;1600;26;;;
180801;1700;75;;;
180801;1800;123;;;
180801;1900;102;;;
180801;2000;148;;;
180801;2100;340;;;
180801;2200;441;;;
180801;2300;216;;;
180802;0000;72;;;
180802;0100;219;;;
180802;0200;75;;;
180802;0300;122;;;
180802;0400;101;;;
180802;0500;68;;;
180802;0600;100;;;
180802;0700;100;;;
180802;0800;200;;;
180802;0900;86;;;
180802;1000;49;;;
180802;1100;166;;;
180802;1200;155;;;
180802;1300;138;;;
180802;1400;49;;;
180802;1500;47;;;
180802;1600;149;;;
180802;1700;321;;;
180802;1800;407;;;
180802;1900;709;;;
180802;2000;682;;;
180802;2100;508;;;
180802;2200;87;;;
180802;2300;323;;;
180803;0000;61;;;
180803;0100;22;;;
180803;0200;20;;;
180803;0300;19;;;
180803;0400;5;;;
180803;0500;3;;;
180803;0600;7;;;
180803;0700;34;;;
180803;0800;47;;;
180803;0900;41;;;
180803;1000;45;;;
180803;1100;31;;;
180803;1200;33;;;
180803;1300;33;;;
180803;1400;43;;;
180803;1500;37;;;
180803;1600;47;;;
180803;1700;58;;;
180803;1800;41;;;
180803;1900;35;;;
180803;2000;35;;;
180803;2100;33;;;
180803;2200;47;;;
180803;2300;35;;;
180804;0000;27;;;
180804;0100;34;;;
180804;0200;19;;;
180804;0300;26;;;
180804;0400;20;;;
180804;0500;16;;;
180804;0600;15;;;
180804;0700;42;;;
180804;0800;61;;;
180804;0900;128;;;
180804;1000;176;;;
180804;1100;50;;;
180804;1200;30;;;
180804;1300;28;;;
180804;1400;20;;;
180804;1500;24;;;
180804;1600;39;;;
180804;1700;63;;;
180804;1800;53;;;
180804;1900;72;;;
180804;2000;72;;;
180804;2100;76;;;
180804;2200;54;;;
180804;2300;68;;;
180805;0000;106;;;
180805;0100;43;;;
180805;0200;53;;;
180805;0300;50;;;
180805;0400;25;;;
180805;0500;18;;;
180805;0600;27;;;
180805;0700;58;;;
180805;0800;19;;;
180805;0900;15;;;
180805;1000;32;;;
180805;1100;26;;;
180805;1200;24;;;
180805;1300;19;;;
180805;1400;23;;;
180805;1500;23;;;
180805;1600;24;;;
180805;1700;39;;;
180805;1800;46;;;
180805;1900;39;;;
180805;2000;50;;;
180805;2100;40;;;
180805;2200;72;;;
180805;2300;37;;;
180806;0000;32;;;
180806;0100;43;;;
180806;0200;48;;;
180806;0300;83;;;
180806;0400;40;;;
180806;0500;34;;;
180806;0600;38;;;
180806;0700;102;;;
180806;0800;82;;;
180806;0900;73;;;
180806;1000;94;;;
180806;1100;84;;;
180806;1200;16;;;
180806;1300;39;;;
180806;1400;64;;;
180806;1500;58;;;
180806;1600;35;;;
180806;1700;73;;;
180806;1800;87;;;
180806;1900;117;;;
180806;2000;158;;;
180806;2100;226;;;
180806;2200;239;;;
180806;2300;298;;;
180807;0000;232;;;
180807;0100;83;;;
180807;0200;30;;;
180807;0300;23;;;
180807;0400;13;;;
180807;0500;30;;;
180807;0600;80;;;
180807;0700;177;;;
180807;0800;137;;;
180807;0900;36;;;
180807;1000;33;;;
180807;1100;28;;;
180807;1200;24;;;
180807;1300;20;;;
180807;1400;23;;;
180807;1500;24;;;
180807;1600;29;;;
180807;1700;66;;;
180807;1800;84;;;
180807;1900;75;;;
180807;2000;105;;;
180807;2100;222;;;
180807;2200;104;;;
180807;2300;145;;;
180808;0000;64;;;
180808;0100;57;;;
180808;0200;52;;;
180808;0300;90;;;
180808;0400;54;;;
180808;0500;64;;;
180808;0600;50;;;
180808;0700;213;;;
180808;0800;110;;;
180808;0900;47;;;
180808;1000;71;;;
180808;1100;66;;;
180808;1200;50;;;
180808;1300;27;;;
180808;1400;29;;;
180808;1500;35;;;
180808;1600;63;;;
180808;1700;145;;;
180808;1800;317;;;
180808;1900;436;;;
180808;2000;391;;;
180808;2100;379;;;
180808;2200;471;;;
180808;2300;256;;;
180809;0000;228;;;
180809;0100;235;;;
180809;0200;138;;;
180809;0300;109;;;
180809;0400;93;;;
180809;0500;64;;;
180809;0600;92;;;
180809;0700;251;;;
180809;0800;273;;;
180809;0900;205;;;
180809;1000;46;;;
180809;1100;141;;;
180809;1200;66;;;
180809;1300;45;;;
180809;1400;81;;;
180809;1500;73;;;
180809;1600;69;;;
180809;1700;60;;;
180809;1800;137;;;
180809;1900;103;;;
180809;2000;118;;;
180809;2100;150;;;
180809;2200;214;;;
180809;2300;166;;;
180810;0000;50;;;
180810;0100;43;;;
180810;0200;27;;;
180810;0300;27;;;
180810;0400;7;;;
180810;0500;7;;;
180810;0600;38;;;
180810;0700;79;;;
180810;0800;90;;;
180810;0900;80;;;
180810;1000;85;;;
180810;1100;24;;;
180810;1200;20;;;
180810;1300;24;;;
180810;1400;23;;;
180810;1500;22;;;
180810;1600;19;;;
180810;1700;58;;;
180810;1800;161;;;
180810;1900;470;;;
180810;2000;382;;;
180810;2100;393;;;
180810;2200;490;;;
180810;2300;564;;;
180811;0000;502;;;
180811;0100;262;;;
180811;0200;343;;;
180811;0300;302;;;
180811;0400;191;;;
180811;0500;180;;;
180811;0600;175;;;
180811;0700;182;;;
180811;0800;139;;;
180811;0900;176;;;
180811;1000;132;;;
180811;1100;180;;;
180811;1200;98;;;
180811;1300;155;;;
180811;1400;56;;;
180811;1500;60;;;
180811;1600;63;;;
180811;1700;102;;;
180811;1800;65;;;
180811;1900;159;;;
180811;2000;444;;;
180811;2100;625;;;
180811;2200;331;;;
180811;2300;278;;;
180812;0000;110;;;
180812;0100;88;;;
180812;0200;47;;;
180812;0300;58;;;
180812;0400;21;;;
180812;0500;30;;;
180812;0600;80;;;
180812;0700;77;;;
180812;0800;148;;;
180812;0900;54;;;
180812;1000;85;;;
180812;1100;92;;;
180812;1200;56;;;
180812;1300;75;;;
180812;1400;66;;;
180812;1500;60;;;
180812;1600;66;;;
180812;1700;117;;;
180812;1800;386;;;
180812;1900;728;;;
180812;2000;492;;;
180812;2100;730;;;
180812;2200;347;;;
180812;2300;240;;;
180813;0000;251;;;
180813;0100;266;;;
180813;0200;205;;;
180813;0300;100;;;
180813;0400;157;;;
180813;0500;92;;;
180813;0600;163;;;
180813;0700;146;;;
180813;0800;53;;;
180813;0900;22;;;
180813;1000;30;;;
180813;1100;31;;;
180813;1200;31;;;
180813;1300;19;;;
180813;1400;24;;;
180813;1500;26;;;
180813;1600;31;;;
180813;1700;39;;;
180813;1800;34;;;
180813;1900;72;;;
180813;2000;35;;;
180813;2100;71;;;
180813;2200;45;;;
180813;2300;44;;;
180814;0000;22;;;
180814;0100;9;;;
180814;0200;43;;;
180814;0300;58;;;
180814;0400;7;;;
180814;0500;22;;;
180814;0600;30;;;
180814;0700;14;;;
180814;0800;51;;;
180814;0900;;;;
180814;1000;19;;;
180814;1100;;;;
180814;1200;19;;;
180814;1300;18;;;
180814;1400;24;;;
180814;1500;20;;;
180814;1600;20;;;
180814;1700;31;;;
180814;1800;37;;;
180814;1900;45;;;
180814;2000;80;;;
180814;2100;28;;;
180814;2200;23;;;
180814;2300;19;;;
180815;0000;33;;;
180815;0100;19;;;
180815;0200;7;;;
180815;0300;5;;;
180815;0400;19;;;
180815;0500;16;;;
180815;0600;12;;;
180815;0700;9;;;
180815;0800;24;;;
180815;0900;28;;;
180815;1000;21;;;
180815;1100;27;;;
180815;1200;28;;;
180815;1300;22;;;
180815;1400;20;;;
180815;1500;21;;;
180815;1600;20;;;
180815;1700;25;;;
180815;1800;37;;;
180815;1900;27;;;
180815;2000;47;;;
180815;2100;60;;;
180815;2200;52;;;
180815;2300;36;;;
180816;0000;28;;;
180816;0100;8;;;
180816;0200;9;;;
180816;0300;12;;;
180816;0400;23;;;
180816;0500;16;;;
180816;0600;28;;;
180816;0700;42;;;
180816;0800;38;;;
180816;0900;65;;;
180816;1000;36;;;
180816;1100;20;;;
180816;1200;25;;;
180816;1300;14;;;
180816;1400;16;;;
180816;1500;15;;;
180816;1600;14;;;
180816;1700;27;;;
180816;1800;64;;;
180816;1900;76;;;
180816;2000;58;;;
180816;2100;42;;;
180816;2200;23;;;
180816;2300;35;;;
180817;0000;18;;;
180817;0100;9;;;
180817;0200;12;;;
180817;0300;9;;;
180817;0400;8;;;
180817;0500;9;;;
180817;0600;100;;;
180817;0700;100;;;
180817;0800;143;;;
180817;0900;57;;;
180817;1000;38;;;
180817;1100;52;;;
180817;1200;59;;;
180817;1300;58;;;
180817;1400;33;;;
180817;1500;41;;;
180817;1600;58;;;
180817;1700;40;;;
180817;1800;73;;;
180817;1900;56;;;
180817;2000;40;;;
180817;2100;58;;;
180817;2200;54;;;
180817;2300;33;;;
180818;0000;34;;;
180818;0100;31;;;
180818;0200;15;;;
180818;0300;22;;;
180818;0400;7;;;
180818;0500;14;;;
180818;0600;24;;;
180818;0700;42;;;
180818;0800;83;;;
180818;0900;35;;;
180818;1000;24;;;
180818;1100;22;;;
180818;1200;24;;;
180818;1300;24;;;
180818;1400;31;;;
180818;1500;25;;;
180818;1600;41;;;
180818;1700;40;;;
180818;1800;46;;;
180818;1900;118;;;
180818;2000;181;;;
180818;2100;89;;;
180818;2200;142;;;
180818;2300;105;;;
180819;0000;90;;;
180819;0100;115;;;
180819;0200;55;;;
180819;0300;33;;;
180819;0400;14;;;
180819;0500;19;;;
180819;0600;8;;;
180819;0700;33;;;
180819;0800;32;;;
180819;0900;19;;;
180819;1000;26;;;
180819;1100;24;;;
180819;1200;15;;;
180819;1300;14;;;
180819;1400;15;;;
180819;1500;20;;;
180819;1600;33;;;
180819;1700;37;;;
180819;1800;183;;;
180819;1900;57;;;
180819;2000;67;;;
180819;2100;50;;;
180819;2200;37;;;
180819;2300;31;;;
180820;0000;23;;;
180820;0100;50;;;
180820;0200;52;;;
180820;0300;108;;;
180820;0400;107;;;
180820;0500;129;;;
180820;0600;238;;;
180820;0700;154;;;
180820;0800;269;;;
180820;0900;152;;;
180820;1000;103;;;
180820;1100;51;;;
180820;1200;33;;;
180820;1300;24;;;
180820;1400;16;;;
180820;1500;20;;;
180820;1600;24;;;
180820;1700;37;;;
180820;1800;95;;;
180820;1900;60;;;
180820;2000;193;;;
180820;2100;389;;;
180820;2200;167;;;
180820;2300;73;;;
180821;0000;38;;;
180821;0100;7;;;
180821;0200;9;;;
180821;0300;12;;;
180821;0400;12;;;
180821;0500;48;;;
180821;0600;197;;;
180821;0700;273;;;
180821;0800;242;;;
180821;0900;81;;;
180821;1000;30;;;
180821;1100;9;;;
180821;1200;20;;;
180821;1300;20;;;
180821;1400;12;;;
180821;1500;23;;;
180821;1600;26;;;
180821;1700;37;;;
180821;1800;77;;;
180821;1900;121;;;
180821;2000;76;;;
180821;2100;199;;;
180821;2200;321;;;
180821;2300;344;;;
180822;0000;190;;;
180822;0100;114;;;
180822;0200;64;;;
180822;0300;72;;;
180822;0400;22;;;
180822;0500;47;;;
180822;0600;193;;;
180822;0700;248;;;
180822;0800;132;;;
180822;0900;190;;;
180822;1000;170;;;
180822;1100;152;;;
180822;1200;131;;;
180822;1300;85;;;
180822;1400;80;;;
180822;1500;38;;;
180822;1600;31;;;
180822;1700;50;;;
180822;1800;72;;;
180822;1900;50;;;
180822;2000;76;;;
180822;2100;99;;;
180822;2200;43;;;
180822;2300;23;;;
180823;0000;15;;;
180823;0100;9;;;
180823;0200;15;;;
180823;0300;8;;;
180823;0400;7;;;
180823;0500;16;;;
180823;0600;18;;;
180823;0700;38;;;
180823;0800;89;;;
180823;0900;43;;;
180823;1000;21;;;
180823;1100;22;;;
180823;1200;15;;;
180823;1300;22;;;
180823;1400;26;;;
180823;1500;22;;;
180823;1600;26;;;
180823;1700;42;;;
180823;1800;84;;;
180823;1900;88;;;
180823;2000;43;;;
180823;2100;53;;;
180823;2200;24;;;
180823;2300;33;;;
180824;0000;70;;;
180824;0100;65;;;
180824;0200;43;;;
180824;0300;8;;;
180824;0400;7;;;
180824;0500;7;;;
180824;0600;100;;;
180824;0700;121;;;
180824;0800;65;;;
180824;0900;26;;;
180824;1000;20;;;
180824;1100;27;;;
180824;1200;31;;;
180824;1300;25;;;
180824;1400;38;;;
180824;1500;50;;;
180824;1600;38;;;
180824;1700;57;;;
180824;1800;66;;;
180824;1900;69;;;
180824;2000;71;;;
180824;2100;77;;;
180824;2200;35;;;
180824;2300;25;;;
180825;0000;28;;;
180825;0100;19;;;
180825;0200;7;;;
180825;0300;7;;;
180825;0400;4;;;
180825;0500;11;;;
180825;0600;42;;;
180825;0700;34;;;
180825;0800;31;;;
180825;0900;20;;;
180825;1000;27;;;
180825;1100;41;;;
180825;1200;61;;;
180825;1300;65;;;
180825;1400;56;;;
180825;1500;66;;;
180825;1600;38;;;
180825;1700;64;;;
180825;1800;90;;;
180825;1900;182;;;
180825;2000;106;;;
180825;2100;43;;;
180825;2200;25;;;
180825;2300;43;;;
180826;0000;27;;;
180826;0100;23;;;
180826;0200;5;;;
180826;0300;8;;;
180826;0400;7;;;
180826;0500;4;;;
180826;0600;13;;;
180826;0700;11;;;
180826;0800;34;;;
180826;0900;16;;;
180826;1000;20;;;
180826;1100;20;;;
180826;1200;9;;;
180826;1300;14;;;
180826;1400;16;;;
180826;1500;20;;;
180826;1600;18;;;
180826;1700;31;;;
180826;1800;43;;;
180826;1900;69;;;
180826;2000;48;;;
180826;2100;60;;;
180826;2200;82;;;
180826;2300;33;;;
180827;0000;18;;;
180827;0100;20;;;
180827;0200;5;;;
180827;0300;5;;;
180827;0400;11;;;
180827;0500;11;;;
180827;0600;22;;;
180827;0700;44;;;
180827;0800;26;;;
180827;0900;28;;;
180827;1000;14;;;
180827;1100;18;;;
180827;1200;13;;;
180827;1300;8;;;
180827;1400;15;;;
180827;1500;15;;;
180827;1600;25;;;
180827;1700;38;;;
180827;1800;37;;;
180827;1900;73;;;
180827;2000;79;;;
180827;2100;49;;;
180827;2200;17;;;
180827;2300;13;;;
180828;0000;29;;;
180828;0100;8;;;
180828;0200;7;;;
180828;0300;9;;;
180828;0400;11;;;
180828;0500;10;;;
180828;0600;88;;;
180828;0700;118;;;
180828;0800;99;;;
180828;0900;57;;;
180828;1000;41;;;
180828;1100;30;;;
180828;1200;36;;;
180828;1300;36;;;
180828;1400;20;;;
180828;1500;27;;;
180828;1600;31;;;
180828;1700;70;;;
180828;1800;95;;;
180828;1900;75;;;
180828;2000;111;;;
180828;2100;80;;;
180828;2200;135;;;
180828;2300;104;;;
180829;0000;76;;;
180829;0100;80;;;
180829;0200;28;;;
180829;0300;12;;;
180829;0400;7;;;
180829;0500;10;;;
180829;0600;52;;;
180829;0700;96;;;
180829;0800;79;;;
180829;0900;26;;;
180829;1000;18;;;
180829;1100;26;;;
180829;1200;20;;;
180829;1300;19;;;
180829;1400;17;;;
180829;1500;;;;
180829;1600;;;;
180829;1700;35;;;
180829;1800;66;;;
180829;1900;58;;;
180829;2000;146;;;
180829;2100;327;;;
180829;2200;80;;;
180829;2300;49;;;
180830;0000;35;;;
180830;0100;27;;;
180830;0200;37;;;
180830;0300;8;;;
180830;0400;21;;;
180830;0500;100;;;
180830;0600;156;;;
180830;0700;111;;;
180830;0800;77;;;
180830;0900;24;;;
180830;1000;18;;;
180830;1100;62;;;
180830;1200;29;;;
180830;1300;26;;;
180830;1400;20;;;
180830;1500;18;;;
180830;1600;34;;;
180830;1700;47;;;
180830;1800;177;;;
180830;1900;390;;;
180830;2000;639;;;
180830;2100;587;;;
180830;2200;292;;;
180830;2300;282;;;
180831;0000;475;;;
180831;0100;382;;;
180831;0200;84;;;
180831;0300;178;;;
180831;0400;178;;;
180831;0500;108;;;
180831;0600;384;;;
180831;0700;422;;;
180831;0800;474;;;
180831;0900;192;;;
180831;1000;73;;;
180831;1100;47;;;
180831;1200;32;;;
180831;1300;24;;;
180831;1400;12;;;
180831;1500;22;;;
180831;1600;29;;;
180831;1700;56;;;
180831;1800;256;;;
180831;1900;418;;;
180831;2000;463;;;
180831;2100;519;;;
180831;2200;201;;;
180831;2300;212;;;
180901;0000;122;;;
180901;0100;111;;;
180901;0200;76;;;
180901;0300;109;;;
180901;0400;108;;;
180901;0500;43;;;
180901;0600;111;;;
180901;0700;111;;;
180901;0800;202;;;
180901;0900;80;;;
180901;1000;47;;;
180901;1100;49;;;
180901;1200;45;;;
180901;1300;31;;;
180901;1400;43;;;
180901;1500;45;;;
180901;1600;69;;;
180901;1700;55;;;
180901;1800;58;;;
180901;1900;60;;;
180901;2000;36;;;
180901;2100;51;;;
180901;2200;39;;;
180901;2300;94;;;
180902;0000;28;;;
180902;0100;29;;;
180902;0200;22;;;
180902;0300;22;;;
180902;0400;14;;;
180902;0500;7;;;
180902;0600;7;;;
180902;0700;21;;;
180902;0800;60;;;
180902;0900;24;;;
180902;1000;22;;;
180902;1100;19;;;
180902;1200;20;;;
180902;1300;18;;;
180902;1400;15;;;
180902;1500;14;;;
180902;1600;17;;;
180902;1700;25;;;
180902;1800;54;;;
180902;1900;58;;;
180902;2000;68;;;
180902;2100;65;;;
180902;2200;28;;;
180902;2300;64;;;
180903;0000;37;;;
180903;0100;24;;;
180903;0200;40;;;
180903;0300;45;;;
180903;0400;7;;;
180903;0500;48;;;
180903;0600;130;;;
180903;0700;205;;;
180903;0800;123;;;
180903;0900;26;;;
180903;1000;20;;;
180903;1100;17;;;
180903;1200;19;;;
180903;1300;41;;;
180903;1400;50;;;
180903;1500;30;;;
180903;1600;47;;;
180903;1700;91;;;
180903;1800;102;;;
180903;1900;183;;;
180903;2000;195;;;
180903;2100;99;;;
180903;2200;62;;;
180903;2300;37;;;
180904;0000;;;;
180904;0100;;;;
180904;0200;;;;
180904;0300;;;;
180904;0400;;;;
180904;0500;;;;
180904;0600;;;;
180904;0700;;;;
180904;0800;;;;
180904;0900;;;;
180904;1000;;;;
180904;1100;37;;;
180904;1200;29;;;
180904;1300;12;;;
180904;1400;14;;;
180904;1500;14;;;
180904;1600;28;;;
180904;1700;;;1;
180904;1800;;;;
180904;1900;;;;
180904;2000;;;;
180904;2100;;;;
180904;2200;71;;;
180904;2300;104;;;
180905;0000;68;;;
180905;0100;98;;;
180905;0200;41;;;
180905;0300;37;;;
180905;0400;45;;;
180905;0500;70;;;
180905;0600;139;;;
180905;0700;97;;;
180905;0800;102;;;
180905;0900;172;;;
180905;1000;74;;;
180905;1100;94;;;
180905;1200;93;;;
180905;1300;;;;
180905;1400;;;;
180905;1500;;;;
180905;1600;60;;;
180905;1700;119;;;
180905;1800;170;;;
180905;1900;201;;;
180905;2000;80;;;
180905;2100;28;;;
180905;2200;47;;;
180905;2300;71;;;
180906;0000;45;;;
180906;0100;39;;;
180906;0200;11;;;
180906;0300;7;;;
180906;0400;9;;;
180906;0500;9;;;
180906;0600;26;;;
180906;0700;47;;;
180906;0800;38;;;
180906;0900;20;;;
180906;1000;22;;;
180906;1100;18;;;
180906;1200;22;;;
180906;1300;13;;;
180906;1400;20;;;
180906;1500;22;;;
180906;1600;20;;;
180906;1700;22;;;
180906;1800;43;;;
180906;1900;34;;;
180906;2000;34;;;
180906;2100;43;;;
180906;2200;30;;;
180906;2300;28;;;
180907;0000;22;;;
180907;0100;10;;;
180907;0200;10;;;
180907;0300;18;;;
180907;0400;14;;;
180907;0500;22;;;
180907;0600;50;;;
180907;0700;77;;;
180907;0800;24;;;
180907;0900;16;;;
180907;1000;20;;;
180907;1100;13;;;
180907;1200;38;;;
180907;1300;18;;;
180907;1400;18;;;
180907;1500;12;;;
180907;1600;15;;;
180907;1700;20;;;
180907;1800;43;;;
180907;1900;65;;;
180907;2000;41;;;
180907;2100;30;;;
180907;2200;34;;;
180907;2300;20;;;
180908;0000;31;;;
180908;0100;50;;;
180908;0200;23;;;
180908;0300;26;;;
180908;0400;7;;;
180908;0500;7;;;
180908;0600;14;;;
180908;0700;52;;;
180908;0800;47;;;
180908;0900;36;;;
180908;1000;24;;;
180908;1100;11;;;
180908;1200;19;;;
180908;1300;15;;;
180908;1400;16;;;
180908;1500;20;;;
180908;1600;9;;;
180908;1700;20;;;
180908;1800;40;;;
180908;1900;42;;;
180908;2000;51;;;
180908;2100;46;;;
180908;2200;38;;;
180908;2300;73;;;
180909;0000;13;;;
180909;0100;20;;;
180909;0200;16;;;
180909;0300;18;;;
180909;0400;14;;;
180909;0500;15;;;
180909;0600;18;;;
180909;0700;39;;;
180909;0800;37;;;
180909;0900;18;;;
180909;1000;22;;;
180909;1100;12;;;
180909;1200;9;;;
180909;1300;11;;;
180909;1400;18;;;
180909;1500;15;;;
180909;1600;10;;;
180909;1700;33;;;
180909;1800;84;;;
180909;1900;169;;;
180909;2000;296;;;
180909;2100;376;;;
180909;2200;102;;;
180909;2300;74;;;
180910;0000;66;;;
180910;0100;165;;;
180910;0200;94;;;
180910;0300;37;;;
180910;0400;25;;;
180910;0500;33;;;
180910;0600;94;;;
180910;0700;201;;;
180910;0800;128;;;
180910;0900;74;;;
180910;1000;58;;;
180910;1100;37;;;
180910;1200;30;;;
180910;1300;15;;;
180910;1400;14;;;
180910;1500;8;;;
180910;1600;16;;;
180910;1700;26;;;
180910;1800;28;;;
180910;1900;34;;;
180910;2000;40;;;
180910;2100;39;;;
180910;2200;39;;;
180910;2300;10;;;
180911;0000;12;;;
180911;0100;7;;;
180911;0200;6;;;
180911;0300;7;;;
180911;0400;5;;;
180911;0500;16;;;
180911;0600;52;;;
180911;0700;86;;;
180911;0800;26;;;
180911;0900;43;;;
180911;1000;28;;;
180911;1100;33;;;
180911;1200;24;;;
180911;1300;12;;;
180911;1400;7;;;
180911;1500;11;;;
180911;1600;22;;;
180911;1700;37;;;
180911;1800;34;;;
180911;1900;25;;;
180911;2000;41;;;
180911;2100;23;;;
180911;2200;13;;;
180911;2300;10;;;
180912;0000;12;;;
180912;0100;8;;;
180912;0200;5;;;
180912;0300;5;;;
180912;0400;5;;;
180912;0500;8;;;
180912;0600;14;;;
180912;0700;23;;;
180912;0800;21;;;
180912;0900;20;;;
180912;1000;12;;;
180912;1100;15;;;
180912;1200;12;;;
180912;1300;22;;;
180912;1400;;;;
180912;1500;;;;
180912;1600;22;;;
180912;1700;22;;;
180912;1800;;;;
180912;1900;37;;;
180912;2000;35;;;
180912;2100;40;;;
180912;2200;20;;;
180912;2300;16;;;
180913;0000;18;;;
180913;0100;9;;;
180913;0200;7;;;
180913;0300;5;;;
180913;0400;7;;;
180913;0500;8;;;
180913;0600;13;;;
180913;0700;15;;;
180913;0800;16;;;
180913;0900;22;;;
180913;1000;16;;;
180913;1100;20;;;
180913;1200;11;;;
180913;1300;14;;;
180913;1400;16;;;
180913;1500;13;;;
180913;1600;16;;;
180913;1700;22;;;
180913;1800;22;;;
180913;1900;19;;;
180913;2000;17;;;
180913;2100;20;;;
180913;2200;9;;;
180913;2300;14;;;
180914;0000;9;;;
180914;0100;7;;;
180914;0200;4;;;
180914;0300;6;;;
180914;0400;5;;;
180914;0500;22;;;
180914;0600;20;;;
180914;0700;44;;;
180914;0800;29;;;
180914;0900;13;;;
180914;1000;12;;;
180914;1100;17;;;
180914;1200;18;;;
180914;1300;23;;;
180914;1400;20;;;
180914;1500;20;;;
180914;1600;23;;;
180914;1700;21;;;
180914;1800;34;;;
180914;1900;31;;;
180914;2000;31;;;
180914;2100;12;;;
180914;2200;18;;;
180914;2300;26;;;
180915;0000;16;;;
180915;0100;12;;;
180915;0200;20;;;
180915;0300;7;;;
180915;0400;7;;;
180915;0500;20;;;
180915;0600;52;;;
180915;0700;91;;;
180915;0800;24;;;
180915;0900;15;;;
